client_id,signup_date,weight,age,is_mom,spendiness_top,dress_size,boho_score_inferred,casual_score_inferred,classic_score_inferred,glam_score_inferred,romantic_score_inferred,edgy_score_inferred,preppy_score_inferred,profession,shipping_state,spendiness_bottom,business_score,laidback_score,cocktail_score,nightout_score
1,10/30/11 0:00,125,,f,100_150,S,7,5,5,3,5,3,9,Management,TN,100_150,5,7,5,6
2,1/16/13 0:00,120,28,f,50_100,S,7,9,8,5,8,2,7,Management,VT,100_150,9,4,7,8
3,1/21/13 18:28,125,39,t,cheaper_the_better,M,8,7,5,6,5,3,7,Homemaker,NC,cheaper_the_better,3,6,4,7
4,2/4/13 8:46,136,56,t,100_150,M,7,7,6,5,4,3,6,Homemaker,LA,100_150,4,7,5,7
5,43:40.6,123,28,f,50_100,S,4,6,4,4,5,6,4,Marketing,TX,50_100,9,5,5,5
6,27:57.3,135,47,t,cheaper_the_better,L,8,7,8,6,5,6,9,Law,VA,cheaper_the_better,6,5,3,6
7,43:58.1,105,29,f,cheaper_the_better,XS,6,6,4,6,4,5,4,Education,CA,cheaper_the_better,5,9,3,5
8,53:46.9,132,40,t,50_100,M,6,6,3,4,4,6,3,Homemaker,KY,50_100,6,7,3,7
9,37:47.0,140,44,t,50_100,M,7,4,6,4,7,4,6,Homemaker,GA,50_100,5,6,5,3
10,41:38.3,152,31,t,cheaper_the_better,L,7,4,8,6,6,3,6,Management,TN,cheaper_the_better,7,6,4,8
11,50:14.8,140,30,f,50_100,M,4,6,7,5,2,5,9,Medicine,NY,50_100,8,7,4,7
12,35:57.3,140,25,f,50_100,M,6,7,4,6,4,8,8,Client Services,IL,100_150,7,7,2,8
13,15:39.2,125,27,t,cheaper_the_better,M,4,8,4,6,6,3,5,Homemaker,CO,cheaper_the_better,6,6,5,5
14,21:55.2,98,35,t,50_100,XS,3,8,4,3,7,6,4,Management,AL,50_100,9,7,5,3
15,04:41.1,200,32,f,50_100,XL,6,8,5,6,6,6,6,Client Services,TX,50_100,4,9,5,5
16,31:37.6,130,27,t,50_100,S,6,6,2,6,5,6,7,Fashion,CA,50_100,1,6,7,4
17,38:26.0,180,32,t,50_100,L,6,3,4,5,4,2,3,Retail,TX,50_100,6,7,5,3
18,00:45.1,130,26,f,cheaper_the_better,S,4,5,8,8,6,9,5,Fashion,AZ,cheaper_the_better,6,7,4,6
19,51:01.4,108,36,t,100_150,XS,4,6,4,2,4,7,7,Homemaker,TX,100_150,5,7,6,5
20,15:15.6,135,25,f,50_100,M,3,5,4,6,6,6,3,Other,NY,50_100,7,5,5,5
21,42:34.7,134,35,t,50_100,S,2,7,4,2,7,4,5,Other,CT,100_150,7,9,3,5
22,17:04.1,140,14,f,cheaper_the_better,M,3,5,3,6,5,3,3,Student,SC,cheaper_the_better,5,8,6,8
23,31:45.9,128,39,t,50_100,S,6,9,7,5,5,3,3,Homemaker,TX,50_100,2,9,2,6
24,23:54.6,124,30,t,50_100,XS,7,4,9,5,4,4,3,Finance,TN,50_100,9,7,6,7
25,10:23.3,125,27,f,50_100,S,2,8,4,6,6,2,6,Marketing,NJ,50_100,8,5,2,4
26,58:59.8,180,36,f,50_100,L,2,6,4,4,4,6,4,Other,CA,50_100,7,5,5,9
27,23:02.2,190,31,f,50_100,L,6,7,4,4,6,4,5,Marketing,MI,100_150,8,7,3,4
28,51:12.9,156,31,f,50_100,L,7,8,7,3,6,3,4,Finance,TN,50_100,6,8,6,7
29,39:40.8,117,37,t,100_150,S,6,4,6,4,4,5,6,Homemaker,OH,100_150,4,9,4,4
30,32:32.9,135,33,t,cheaper_the_better,S,5,5,5,4,3,3,5,Homemaker,WA,50_100,4,9,3,3
31,51:55.3,128,63,t,cheaper_the_better,L,4,5,7,4,3,6,4,Other,GA,50_100,3,8,2,7
32,52:18.4,135,40,t,100_150,S,3,5,3,6,4,4,2,Medicine,IN,100_150,6,6,8,6
